country_code,country_name,year,gdp_usd,gdp_growth_pct,gdp_per_capita_usd,inflation_pct,fdi_net_inflows_pct_gdp
BDI,Burundi,2020,3188355943.63513,0.306443811651718,252.702452750006,7.32110643415521,0.66481142584294
BDI,Burundi,2021,3425127990.70519,3.23707479372925,264.172844085398,8.40453845076341,0.652577753652764
BDI,Burundi,2022,4020736756.64256,2.31770122350822,301.832255755105,18.8008786664945,0.627981649090288
BDI,Burundi,2023,3419558408.35408,3.25476897326196,249.795164039029,26.9414835762453,0.9942604776831
BDI,Burundi,2024,3037579858.38142,4.11227376394912,216.231928531758,20.2124925027847,1.0970222856868
COM,Comoros,2020,1225039196.61091,-0.195556841918759,1527.16991011916,0.786641929499151,0.316385474955504
COM,Comoros,2021,1299039312.22277,2.04245238320844,1587.72988658008,-0.00441793682346988,0.309826819264342
COM,Comoros,2022,1279542248.96288,2.45381174550259,1533.87755393614,12.5320314570999,0.322667538233799
COM,Comoros,2023,1465977684.31307,3.1866131800554,1723.89474946474,8.37373955490996,0.365132085679526
COM,Comoros,2024,1610082688.26617,3.30071498500033,1857.87060684189,5.05192609588218,0.440971140907408
DJI,Djibouti,2020,3144136196.6228,1.2021151728969,2844.88810647853,1.77900535643955,5.03254315668511
DJI,Djibouti,2021,3392796953.08939,4.40715667561153,3025.91126413549,1.18086783934059,4.91482788768696
DJI,Djibouti,2022,3562814908.76149,5.16653702854374,3133.25779772463,5.17222088647606,5.24930012962196
DJI,Djibouti,2023,3898447007.38798,6.80733529403308,3381.29779710722,1.44905087029086,3.51446231641349
DJI,Djibouti,2024,4152145939.98458,6.98048467276334,3552.72335079222,2.1120116728497,1.63337101411676
ERI,Eritrea,2020,,,,,
ERI,Eritrea,2021,,,,,
ERI,Eritrea,2022,,,,,
ERI,Eritrea,2023,,,,,
ERI,Eritrea,2024,,,,,
ETH,Ethiopia,2020,98676811061.9985,6.05953089248577,829.790982552951,20.3563468559061,2.4279259279615
ETH,Ethiopia,2021,109070960370.972,5.64153069324176,893.009835441784,26.8395221557722,3.90520609775086
